headline,body,label,clean_headline,clean_body
সরকার নতুন বাজেট ঘোষণা করেছে,"অর্থমন্ত্রী আজ সংসদে নতুন বাজেট উপস্থাপন করেছেন। এতে স্বাস্থ্য, শিক্ষা ও অবকাঠামো খাতে বরাদ্দ বাড়ানো হয়েছে।",1,সরকার নতুন বাজেট ঘোষণা করেছে,অর্থমন্ত্রী আজ সংসদে নতুন বাজেট উপস্থাপন করেছেন এতে স্বাস্থ্য শিক্ষা ও অবকাঠামো খাতে বরাদ্দ বাড়ানো হয়েছে
বাংলাদেশ ক্রিকেট দলে বড় পরিবর্তন,"বাংলাদেশ জাতীয় দলের স্কোয়াডে বেশ কিছু নতুন মুখ জায়গা পেয়েছে। নির্বাচকেরা বলেন, পারফরম্যান্সের ভিত্তিতে এই সিদ্ধান্ত নেওয়া হয়েছে।",1,বাংলাদেশ ক্রিকেট দলে বড় পরিবর্তন,বাংলাদেশ জাতীয় দলের স্কোয়াডে বেশ কিছু নতুন মুখ জায়গা পেয়েছে নির্বাচকেরা বলেন পারফরম্যান্সের ভিত্তিতে এই সিদ্ধান্ত নেওয়া হয়েছে
চট্টগ্রামে ট্রেন দুর্ঘটনায় নিহত ৫,চট্টগ্রামের সীতাকুণ্ডে একটি ট্রেন দুর্ঘটনায় পাঁচজন নিহত এবং অন্তত ২০ জন আহত হয়েছে বলে জানিয়েছে পুলিশ।,1,চট্টগ্রামে ট্রেন দুর্ঘটনায় নিহত ৫,চট্টগ্রামের সীতাকুণ্ডে একটি ট্রেন দুর্ঘটনায় পাঁচজন নিহত এবং অন্তত ২০ জন আহত হয়েছে বলে জানিয়েছে পুলিশ
রাজধানীতে গণপরিবহন ধর্মঘট,আজ সংসদে নতুন অর্থবছরের বাজেট উপস্থাপন করেছেন অর্থমন্ত্রী। এতে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করা হয়েছে।,0,রাজধানীতে গণপরিবহন ধর্মঘট,আজ সংসদে নতুন অর্থবছরের বাজেট উপস্থাপন করেছেন অর্থমন্ত্রী এতে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করা হয়েছে
স্মার্টফোনের নতুন মডেল বাজারে,"বাংলাদেশ জাতীয় দলের স্কোয়াডে বেশ কিছু নতুন মুখ জায়গা পেয়েছে। নির্বাচকেরা বলেন, পারফরম্যান্সের ভিত্তিতে এই সিদ্ধান্ত নেওয়া হয়েছে।",0,স্মার্টফোনের নতুন মডেল বাজারে,বাংলাদেশ জাতীয় দলের স্কোয়াডে বেশ কিছু নতুন মুখ জায়গা পেয়েছে নির্বাচকেরা বলেন পারফরম্যান্সের ভিত্তিতে এই সিদ্ধান্ত নেওয়া হয়েছে
বাংলাদেশে শীতের আমদানি বেড়েছে,চট্টগ্রামের সীতাকুণ্ডে একটি ট্রেন দুর্ঘটনায় পাঁচজন নিহত এবং অন্তত ২০ জন আহত হয়েছে বলে জানিয়েছে পুলিশ।,0,বাংলাদেশে শীতের আমদানি বেড়েছে,চট্টগ্রামের সীতাকুণ্ডে একটি ট্রেন দুর্ঘটনায় পাঁচজন নিহত এবং অন্তত ২০ জন আহত হয়েছে বলে জানিয়েছে পুলিশ
ঈদুল আজহার ছুটি: প্রাথমিক বিদ্যালয়ের পাঠদান নিয়ে নতুন নির্দেশনা,"মে মাসের দুই শনিবার মাধ্যমিক পর্যায়ের সরকারি-বেসরকারি স্কুল, কলেজ ও বিশ্ববিদ্যালয়ে পাঠদানের নির্দেশের পর প্রাথমিক বিদ্যালয় খোলা রাখারও নির্দেশনা দেয়া হয়েছে।",1,ঈদুল আজহার ছুটি প্রাথমিক বিদ্যালয়ের পাঠদান নিয়ে নতুন নির্দেশনা,মে মাসের দুই শনিবার মাধ্যমিক পর্যায়ের সরকারিবেসরকারি স্কুল কলেজ ও বিশ্ববিদ্যালয়ে পাঠদানের নির্দেশের পর প্রাথমিক বিদ্যালয় খোলা রাখারও নির্দেশনা দেয়া হয়েছে
সূর্য লকডাউনে যাচ্ছে নাসার সতর্কবার্তা,"সূর্যের এমন লকডাউনের ফলে বিশ্বে তাপমাত্রা কমে যাবে, শীতল হয়ে উঠবে পৃথিবী। এছাড়া বিশ্বজুড়ে ভূমিকম্প ও দুর্ভিক্ষের মতো ভয়ংকর দুর্যোগ দেখা দিতে পারে বলে শঙ্কা প্রকাশ করেছেন বিজ্ঞানীরা।নিউইয়র্ক টাইমসের প্রতিবেদনে বলা হয়েছে, সূর্য বর্তমানে ‘সোলার মিনিমাম’ পরিস্থিতিতে রয়েছে। ফলে পৃথিবীতে সূর্যের স্বাভাবিক সময়ে সরবরাহ করা তাপমাত্রা অনেক কমে গেছে। পৃথিবীর প্রতি সূর্যের কার্যকলাপ নাটকীয়ভাবে হ্রাস পেয়েছে।বিশ্বখ্যাত জ্যোতির্বিজ্ঞানী ড. টনি ফিলিপস বলেন, আমরা এমন গভীরতম সময়ের ভেতরে প্রবেশ করতে যাচ্ছি যে সময়ে সূর্যের আলো কার্যত অদৃশ্য হয়ে যাবে। সূর্যের সোলার মিনিমাম চলছে। এটি অত্যন্ত গভীর। সানস্পট গণনা থেকে বোঝা যাচ্ছে এটি বিগত শতাব্দীর সবচেয়ে গভীরতম অবস্থানে রয়েছে। সূর্যের চৌম্বকীয় শক্তি দুর্বল হয়ে পড়েছে। এর মানে হলো সৌরজগতে অতিরিক্ত মহাজাগতিক শক্তির প্রবেশের আভাস পাওয়া যাচ্ছে",0,সূর্য লকডাউনে যাচ্ছে নাসার সতর্কবার্তা,সূর্যের এমন লকডাউনের ফলে বিশ্বে তাপমাত্রা কমে যাবে শীতল হয়ে উঠবে পৃথিবী এছাড়া বিশ্বজুড়ে ভূমিকম্প ও দুর্ভিক্ষের মতো ভয়ংকর দুর্যোগ দেখা দিতে পারে বলে শঙ্কা প্রকাশ করেছেন বিজ্ঞানীরানিউইয়র্ক টাইমসের প্রতিবেদনে বলা হয়েছে সূর্য বর্তমানে সোলার মিনিমাম পরিস্থিতিতে রয়েছে ফলে পৃথিবীতে সূর্যের স্বাভাবিক সময়ে সরবরাহ করা তাপমাত্রা অনেক কমে গেছে পৃথিবীর প্রতি সূর্যের কার্যকলাপ নাটকীয়ভাবে হ্রাস পেয়েছেবিশ্বখ্যাত জ্যোতির্বিজ্ঞানী ড টনি ফিলিপস বলেন আমরা এমন গভীরতম সময়ের ভেতরে প্রবেশ করতে যাচ্ছি যে সময়ে সূর্যের আলো কার্যত অদৃশ্য হয়ে যাবে সূর্যের সোলার মিনিমাম চলছে এটি অত্যন্ত গভীর সানস্পট গণনা থেকে বোঝা যাচ্ছে এটি বিগত শতাব্দীর সবচেয়ে গভীরতম অবস্থানে রয়েছে সূর্যের চৌম্বকীয় শক্তি দুর্বল হয়ে পড়েছে এর মানে হলো সৌরজগতে অতিরিক্ত মহাজাগতিক শক্তির প্রবেশের আভাস পাওয়া যাচ্ছে
শেষ সময়ে চোখ মুছে মাফ চেয়েছিলেন রাজীব,২০০৪ সালের ১৪ নভেম্বর ক্যান্সারে আক্রান্ত হয়ে মারা যান অভিনেতা রাজীব। মৃত্যুর আগ পর্যন্ত বাংলা চলচ্চিত্রে রাজীবের শক্ত অবস্থান প্রমাণ করে তিনি একজন অসম্ভব জনপ্রিয় অভিনেতা ছিলেন। পুরো নাম ওয়াসীমুল বারী রাজীব।  ঠিক আজকের এই দিনেই ১৫ বছর আগে ভক্তদের কাঁদিয়ে চলে যান শক্তিমান এই খল অভিনেতা। খল অভিনেতা হিসেবে পরিচিতি পেলেও অভিনয়ের প্রতিটা শাখায় তিনি দক্ষতা দেখাতে সক্ষম ছিলেন।,0,শেষ সময়ে চোখ মুছে মাফ চেয়েছিলেন রাজীব,২০০৪ সালের ১৪ নভেম্বর ক্যান্সারে আক্রান্ত হয়ে মারা যান অভিনেতা রাজীব মৃত্যুর আগ পর্যন্ত বাংলা চলচ্চিত্রে রাজীবের শক্ত অবস্থান প্রমাণ করে তিনি একজন অসম্ভব জনপ্রিয় অভিনেতা ছিলেন পুরো নাম ওয়াসীমুল বারী রাজীব ঠিক আজকের এই দিনেই ১৫ বছর আগে ভক্তদের কাঁদিয়ে চলে যান শক্তিমান এই খল অভিনেতা খল অভিনেতা হিসেবে পরিচিতি পেলেও অভিনয়ের প্রতিটা শাখায় তিনি দক্ষতা দেখাতে সক্ষম ছিলেন
রোবোট্যাক্সি চালুর পরিকল্পনায় বড় ধাক্কা খেলেন ইলন মাস্ক,"আগামী জুনের মধ্যে যুক্তরাষ্ট্রে টেসলার তৈরি চালকহীন রোবোট্যাক্সি চালুর পরিকল্পনা করেছিলেন ইলন মাস্ক। কিন্তু চালুর মাত্র এক মাস আগে যুক্তরাষ্ট্রের সড়ক নিরাপত্তাবিষয়ক নিয়ন্ত্রক সংস্থা ন্যাশনাল হাইওয়ে ট্রাফিক সেফটি অ্যাডমিনিস্ট্রেশন টেসলাকে একটি চিঠি পাঠিয়ে তাদের সেলফ–ড্রাইভিং গাড়ি ব্যবস্থাপনা কতটা নিরাপদ, সে বিষয়ে বিস্তারিত তথ্য জানতে চেয়েছে। আগামী ১৯ জুনের মধ্যে টেসলাকে আনুষ্ঠানিকভাবে সব প্রশ্নের লিখিত উত্তর দিতে হবে। নির্ধারিত সময়ের মধ্যে সন্তোষজনক ব্যাখ্যা না দিলে প্রকল্পটি স্থগিত করা হতে পারে। এর ফলে রোবোট্যাক্সি চালুর পরিকল্পনায় বড় ধাক্কা খেয়েছেন ইলন মাস্ক।",1,রোবোট্যাক্সি চালুর পরিকল্পনায় বড় ধাক্কা খেলেন ইলন মাস্ক,আগামী জুনের মধ্যে যুক্তরাষ্ট্রে টেসলার তৈরি চালকহীন রোবোট্যাক্সি চালুর পরিকল্পনা করেছিলেন ইলন মাস্ক কিন্তু চালুর মাত্র এক মাস আগে যুক্তরাষ্ট্রের সড়ক নিরাপত্তাবিষয়ক নিয়ন্ত্রক সংস্থা ন্যাশনাল হাইওয়ে ট্রাফিক সেফটি অ্যাডমিনিস্ট্রেশন টেসলাকে একটি চিঠি পাঠিয়ে তাদের সেলফড্রাইভিং গাড়ি ব্যবস্থাপনা কতটা নিরাপদ সে বিষয়ে বিস্তারিত তথ্য জানতে চেয়েছে আগামী ১৯ জুনের মধ্যে টেসলাকে আনুষ্ঠানিকভাবে সব প্রশ্নের লিখিত উত্তর দিতে হবে নির্ধারিত সময়ের মধ্যে সন্তোষজনক ব্যাখ্যা না দিলে প্রকল্পটি স্থগিত করা হতে পারে এর ফলে রোবোট্যাক্সি চালুর পরিকল্পনায় বড় ধাক্কা খেয়েছেন ইলন মাস্ক
সমকালের ‘কিং’ কোহলি মহাকালেরও,"স্টাম্প মাইক্রোফোনে মহেন্দ্র সিং ধোনির মুখেই নিত্য শোনা যেত নামটি। সেই থেকে জনসমাগমেও ‘চিকু’ ডাক শুনে সাড়া দেওয়ার নিয়মে অভ্যস্ত হয়ে গিয়েছিলেন বিরাট কোহলি। কিন্তু কী করে পেয়েছিলেন এমন সংক্ষিপ্ত নাম? ‘চিকু দ্য র‌্যাবিট’ কার্টুনের একটি চরিত্র থেকেই নামটি ধার করেছিলেন রঞ্জি ট্রফিতে কাজ করা এক কোচ। শচীন টেন্ডুলকার পরবর্তী যুগে ভারতীয় ক্রিকেটের সবচেয়ে বড় তারকা এবং দূত হয়ে ওঠা কোহলির নিজের মুখ থেকেই সেটি শুনে নেওয়া যাক, ‘তখন আমার বড় বড় গাল ছিল। ২০০৭ সালে আমার চুল পড়ার সমস্যা দেখা দেয়। তখন চুল কেটে ছোট করে ফেলায় বড় গাল ও কান আরো প্রকাশ্য হয়ে ওঠে। সেই সময়েই ডাকনামটা পাই।",0,সমকালের কিং কোহলি মহাকালেরও,স্টাম্প মাইক্রোফোনে মহেন্দ্র সিং ধোনির মুখেই নিত্য শোনা যেত নামটি সেই থেকে জনসমাগমেও চিকু ডাক শুনে সাড়া দেওয়ার নিয়মে অভ্যস্ত হয়ে গিয়েছিলেন বিরাট কোহলি কিন্তু কী করে পেয়েছিলেন এমন সংক্ষিপ্ত নাম চিকু দ্য র্যাবিট কার্টুনের একটি চরিত্র থেকেই নামটি ধার করেছিলেন রঞ্জি ট্রফিতে কাজ করা এক কোচ শচীন টেন্ডুলকার পরবর্তী যুগে ভারতীয় ক্রিকেটের সবচেয়ে বড় তারকা এবং দূত হয়ে ওঠা কোহলির নিজের মুখ থেকেই সেটি শুনে নেওয়া যাক তখন আমার বড় বড় গাল ছিল ২০০৭ সালে আমার চুল পড়ার সমস্যা দেখা দেয় তখন চুল কেটে ছোট করে ফেলায় বড় গাল ও কান আরো প্রকাশ্য হয়ে ওঠে সেই সময়েই ডাকনামটা পাই
নগদের দায়িত্ব নিল ডাক অধিদপ্তর,মোবাইল আর্থিক সেবাদাতা (এমএফএস) প্রতিষ্ঠান ‘নগদ’ এর দায়িত্ব নিয়েছে ডাক অধিদপ্তর। বাংলাদেশ ব্যাংকের প্রশাসক দলের ওপর আদালতের স্থগিতাদেশ দেওয়ায় পর প্রতিষ্ঠানটির পরিচালনা নিয়ে অচলাবস্থা তৈরি হয়। এর পরিপ্রেক্ষিতে আজ এই সিদ্ধান্ত নিয়েছে ডাক অধিদপ্তর। এ জন্য ডাক অধিদপ্তরের পরিচালক আবু তালেবকে প্রধান করে ৮ সদস্যের কমিটি গঠন করা হয়েছে। ইতিমধ্যে অধিদপ্তরের কর্মকর্তারা বনানীর নগদ অফিসে গিয়ে দায়িত্ব নিয়েছেন।,1,নগদের দায়িত্ব নিল ডাক অধিদপ্তর,মোবাইল আর্থিক সেবাদাতা এমএফএস প্রতিষ্ঠান নগদ এর দায়িত্ব নিয়েছে ডাক অধিদপ্তর বাংলাদেশ ব্যাংকের প্রশাসক দলের ওপর আদালতের স্থগিতাদেশ দেওয়ায় পর প্রতিষ্ঠানটির পরিচালনা নিয়ে অচলাবস্থা তৈরি হয় এর পরিপ্রেক্ষিতে আজ এই সিদ্ধান্ত নিয়েছে ডাক অধিদপ্তর এ জন্য ডাক অধিদপ্তরের পরিচালক আবু তালেবকে প্রধান করে ৮ সদস্যের কমিটি গঠন করা হয়েছে ইতিমধ্যে অধিদপ্তরের কর্মকর্তারা বনানীর নগদ অফিসে গিয়ে দায়িত্ব নিয়েছেন
